id,price,order,title,url,img,date,ticketStatus
hamarjul-2025-1795,NOK 100,27,Chicago Christmas med Hamar altmuligorkester,https://www.hamar-kulturhus.no/arrangementer/hamarjul-2025-1795/,https://mff.dx.no/185382.jpg,2. desember 2025,Ledige billetter
onsdagsjam,NOK 100,28,Onsdagsjam,https://www.hamar-kulturhus.no/arrangementer/onsdagsjam/,https://www.hamar-kulturhus.no/wp-content/uploads/2023/09/onsdagsjam_1920x1080.jpg,3. desember 2025,Gratis
stjernenatt-en-julekonsert-med-odd-rene-andersen-041220251900,NOK 100,29,Stjernenatt – en julekonsert med Odd René Andersen,https://www.hamar-kulturhus.no/arrangementer/stjernenatt-en-julekonsert-med-odd-rene-andersen-041220251900/,https://mff.dx.no/185933.jpg,4. desember 2025,Få billetter igjen
desemberstemninger-061220251900,NOK 100,30,Desemberstemninger,https://www.hamar-kulturhus.no/arrangementer/desemberstemninger-061220251900/,https://mff.dx.no/185937.jpg,6. desember 2025,Få billetter igjen
pappas-lille-gutt-1809,NOK 100,31,Pappas lille gutt,https://www.hamar-kulturhus.no/arrangementer/pappas-lille-gutt-1809/,https://mff.dx.no/184629.jpeg,6. desember 2025,Ledige billetter
darling-west-lights-juleturne-2025-091220251900,NOK 100,32,Darling West: Lights – Juleturné 2025,https://www.hamar-kulturhus.no/arrangementer/darling-west-lights-juleturne-2025-091220251900/,https://mff.dx.no/184887.jpg,9. desember 2025,Ledige billetter
sinikka-langeland-solo-111220251900,NOK 100,33,Sinikka Langeland solo,https://www.hamar-kulturhus.no/arrangementer/sinikka-langeland-solo-111220251900/,https://mff.dx.no/164763.jpg,11. desember 2025,Ledige billetter
emmas-jul-121220252000,NOK 100,34,Emmas jul,https://www.hamar-kulturhus.no/arrangementer/emmas-jul-121220252000/,https://mff.dx.no/185938.jpg,12. desember 2025,Få billetter igjen
hollow-peak-releasekonsert-1823,NOK 100,35,Hollow Peak / Releasekonsert,https://www.hamar-kulturhus.no/arrangementer/hollow-peak-releasekonsert-1823/,https://mff.dx.no/186085.jpg,12. desember 2025,Ledige billetter
jul-med-hedmarken-symfoniorkester-131220251800,NOK 100,36,Jul med Hedmarken Symfoniorkester,https://www.hamar-kulturhus.no/arrangementer/jul-med-hedmarken-symfoniorkester-131220251800/,https://mff.dx.no/185939.jpg,13. desember 2025,Få billetter igjen
putti-plutti-pott-og-julenissens-skjegg-151220251630,NOK 100,37,Putti Plutti Pott og Julenissens skjegg,https://www.hamar-kulturhus.no/arrangementer/putti-plutti-pott-og-julenissens-skjegg-151220251630/,https://mff.dx.no/185940.jpg,Fra 14. desember 2025,Få billetter igjen
oslo-gospel-choir-181220251900,NOK 100,38,Oslo Gospel Choir,https://www.hamar-kulturhus.no/arrangementer/oslo-gospel-choir-181220251900/,https://mff.dx.no/185942.jpg,18. desember 2025,Få billetter igjen
var-jul-191220252000,NOK 100,39,Vår jul,https://www.hamar-kulturhus.no/arrangementer/var-jul-191220252000/,https://mff.dx.no/185943.jpg,19. desember 2025,Få billetter igjen
christmas-with-nordic-tenors-201220251800,NOK 100,40,Christmas with Nordic Tenors,https://www.hamar-kulturhus.no/arrangementer/christmas-with-nordic-tenors-201220251800/,https://mff.dx.no/186366.jpg,20. desember 2025,Ledige billetter
kaveh-rashidi-illusjonen-om-det-friske-mennesket-150120261800,NOK 100,41,Kaveh Rashidi – illusjonen om det friske mennesket,https://www.hamar-kulturhus.no/arrangementer/kaveh-rashidi-illusjonen-om-det-friske-mennesket-150120261800/,https://mff.dx.no/183900.jpg,15. januar 2026,Ledige billetter
melissa-horn-alene-med-gitar-310120262000,NOK 100,42,Melissa Horn – Alene med gitar,https://www.hamar-kulturhus.no/arrangementer/melissa-horn-alene-med-gitar-310120262000/,https://mff.dx.no/172829.jpg,31. januar 2026,Få billetter igjen
takk-for-livet-teater-innlandet-260320261900,NOK 100,43,Takk for livet – Teater Innlandet,https://www.hamar-kulturhus.no/arrangementer/takk-for-livet-teater-innlandet-260320261900/,https://mff.dx.no/178602.png,Fra 5. februar 2026,Ledige billetter
beharie-070220262000,NOK 100,44,Beharie,https://www.hamar-kulturhus.no/arrangementer/beharie-070220262000/,https://mff.dx.no/180870.jpg,7. februar 2026,Ledige billetter
kings-queens-solheimkoret-080220261800,NOK 100,45,Kings & Queens – Solheimkoret,https://www.hamar-kulturhus.no/arrangementer/kings-queens-solheimkoret-080220261800/,https://mff.dx.no/174256.jpg,8. februar 2026,Ledige billetter
tingenes-tilstand-da-det-kom-til-norge-1816,NOK 100,46,Tingenes tilstand: Da det kom til Norge,https://www.hamar-kulturhus.no/arrangementer/tingenes-tilstand-da-det-kom-til-norge-1816/,https://mff.dx.no/185486.jpg,13. februar 2026,Ledige billetter
espen-lind-med-band-140220262000,NOK 100,47,Espen Lind med band,https://www.hamar-kulturhus.no/arrangementer/espen-lind-med-band-140220262000/,https://mff.dx.no/182732.jpg,14. februar 2026,Ledige billetter
laereren-riksteatret-190220261900,NOK 100,48,Læreren / Riksteatret,https://www.hamar-kulturhus.no/arrangementer/laereren-riksteatret-190220261900/,https://mff.dx.no/178887.jpg,19. februar 2026,Ledige billetter
musical-stories-200220261900,NOK 100,49,Musical Stories,https://www.hamar-kulturhus.no/arrangementer/musical-stories-200220261900/,https://mff.dx.no/183596.jpg,20. februar 2026,Ledige billetter
